Accident_Index,Casualty_Reference,Date,Casualty_Severity,Casualty_Type_Category,Location_Easting_OSGR,Location_Northing_OSGR
201114K055111,1,2011-02-17,Serious,Pedestrian,436530,392000
201114K055211,1,2011-02-26,Slight,Car,439190,386980
201114K055411,1,2011-02-25,Slight,Motorcycle,431830,388550
201114K055511,1,2011-02-27,Slight,Car,439060,386720
201114K055611,1,2011-02-14,Slight,Bus or Coach,432830,385360
201114K055711,1,2011-02-23,Slight,Bus or Coach,436320,387050
201114K056111,1,2011-02-24,Slight,Car,434720,387920
201114K056411,1,2011-02-27,Slight,Bus or Coach,442630,384530
201114K056511,1,2011-02-27,Slight,Car,433260,389640
201114K056511,2,2011-02-27,Slight,Car,433260,389640
201114K056711,1,2011-02-28,Slight,Car,438320,384330
201114K057311,1,2011-03-01,Slight,Car,433830,392440
201114K057311,2,2011-03-01,Slight,Car,433830,392440
201114K057511,1,2011-03-01,Slight,Car,436370,397020
201114K057711,1,2011-02-25,Slight,Bus or Coach,433290,390980
201114K057911,1,2011-03-02,Slight,Motorcycle,431970,384520
201114K058011,1,2011-03-01,Slight,Motorcycle,434670,391420
201114K058111,1,2011-03-02,Slight,Car,432590,391130
201114K058411,1,2011-03-01,Slight,Pedal Cycle,435460,388180
201114K058511,1,2011-02-01,Slight,Car,442850,381270
201114K058811,1,2011-03-02,Slight,Pedestrian,433970,392690
201114K058911,1,2011-02-23,Slight,Car,434980,386370
201114K059311,1,2011-03-05,Slight,Pedestrian,437450,390180
201114K059411,1,2011-03-03,Slight,Car,434690,384720
201114K059511,1,2011-03-04,Slight,Bus or Coach,435330,387120
201114K060411,2,2011-03-08,Slight,Car,435090,392940
201114K060411,3,2011-03-08,Slight,Car,435090,392940
201114K060411,1,2011-03-08,Slight,Car,435090,392940
201114K060711,1,2011-03-02,Slight,Bus or Coach,437060,392900
201114K061511,1,2011-03-05,Slight,Car,435480,386440
201114K061511,2,2011-03-05,Slight,Car,435480,386440
201114K061511,3,2011-03-05,Slight,Car,435480,386440
201114K061511,4,2011-03-05,Slight,Car,435480,386440
201114K061511,5,2011-03-05,Slight,Car,435480,386440
201114K062111,1,2011-03-05,Slight,Car,434570,383480
201114K062111,2,2011-03-05,Slight,Car,434570,383480
201114K062211,1,2011-03-06,Slight,Car,439520,390580
201114K062311,1,2011-03-07,Slight,Bus or Coach,433450,386970
201114K062311,2,2011-03-07,Slight,Bus or Coach,433450,386970
201114K062311,3,2011-03-07,Slight,Bus or Coach,433450,386970
201114K062311,4,2011-03-07,Slight,Bus or Coach,433450,386970
201114K062411,1,2011-03-04,Slight,Car,434940,387500
201114K062611,1,2011-03-03,Serious,Pedestrian,441620,385990
201114K062811,1,2011-03-08,Slight,Bus or Coach,440340,385260
201114K062911,1,2011-03-08,Slight,Pedestrian,435770,387830
201114K063211,1,2011-03-14,Slight,Car,436480,393860
201114K063411,1,2011-03-08,Slight,Pedestrian,442590,381060
201114K063511,1,2011-03-10,Slight,Car,437310,386360
201114K063511,2,2011-03-10,Slight,Car,437310,386360
201114K063511,3,2011-03-10,Slight,Car,437310,386360
201114K063511,4,2011-03-10,Slight,Car,437310,386360
201114K063511,5,2011-03-10,Slight,Car,437310,386360
201114K063611,1,2011-03-07,Serious,Motorcycle,435270,385790
201114K064211,1,2011-03-09,Slight,Motorcycle,437100,392070
201114K064611,1,2011-03-09,Slight,Pedal Cycle,433830,392450
201114K064811,1,2011-03-10,Slight,Other,437940,385210
201114K065311,1,2011-03-10,Slight,Bus or Coach,435670,386910
201114K065811,1,2011-03-11,Slight,Car,428950,397840
201114K066011,1,2011-03-11,Slight,Pedestrian,439950,383740
201114K066511,1,2011-03-09,Slight,Car,435560,385760
201114K066811,2,2011-03-10,Slight,Car,433310,387190
201114K066811,1,2011-03-10,Slight,Car,433310,387190
201114K067411,1,2011-03-11,Slight,Motorcycle,440930,390250
201114K067711,1,2011-03-11,Slight,Pedal Cycle,434530,385410
201114K068311,1,2011-03-13,Slight,Pedestrian,435900,386250
201114K068511,1,2011-03-17,Serious,Car,434700,391260
201114K068511,2,2011-03-17,Serious,Car,434700,391260
201114K068511,3,2011-03-17,Serious,Car,434700,391260
201114K068911,1,2011-03-16,Slight,Car,432560,389350
201114K069211,1,2011-03-16,Slight,Pedal Cycle,437320,388230
201114K069311,1,2011-03-15,Slight,Pedal Cycle,436880,388660
201114K069411,1,2011-03-18,Slight,Car,433680,390730
201114K069511,1,2011-03-18,Slight,Car,427580,398260
201114K069711,1,2011-03-19,Fatal,Pedestrian,427460,398010
201114K069911,1,2011-03-17,Serious,Pedestrian,433980,380480
201114K070011,1,2011-03-17,Slight,Bus or Coach,436510,386450
201114K070111,1,2011-03-18,Serious,Motorcycle,435480,391330
201114K070411,1,2011-03-04,Slight,Car,435600,396190
201114K070411,2,2011-03-04,Slight,Car,435600,396190
201114K070411,3,2011-03-04,Slight,Car,435600,396190
201114K070711,1,2011-03-15,Slight,Car,437830,388670
201114K070711,2,2011-03-15,Slight,Car,437830,388670
201114K071111,1,2011-03-17,Slight,Pedestrian,435480,387630
201114K071211,1,2011-03-12,Slight,Car,435680,393720
201114K071511,1,2011-02-24,Slight,Car,438220,393140
201114K071511,2,2011-02-24,Slight,Car,438220,393140
201114K071711,1,2011-03-10,Slight,Car,429890,394390
201114K071711,2,2011-03-10,Slight,Car,429890,394390
201114K071811,1,2011-03-18,Slight,Pedestrian,435610,387320
201114K071911,1,2011-03-16,Slight,Pedestrian,436060,392920
201114K072411,1,2011-03-08,Slight,Car,437420,387660
201114K072411,2,2011-03-08,Slight,Car,437420,387660
201114K072411,3,2011-03-08,Serious,Car,437420,387660
201114K072511,1,2011-03-18,Slight,Bus or Coach,433670,387180
201114K073011,1,2011-03-16,Slight,Car,426130,380690
201114K073111,1,2011-03-14,Slight,Car,427450,397350
201114K073111,2,2011-03-14,Slight,Car,427450,397350
201114K073211,1,2011-03-20,Slight,Car,438530,383140
201114K073211,5,2011-03-20,Slight,Car,438530,383140
201114K073211,2,2011-03-20,Slight,Car,438530,383140
201114K073211,3,2011-03-20,Serious,Car,438530,383140
201114K073211,4,2011-03-20,Slight,Car,438530,383140
201114K073211,6,2011-03-20,Slight,Car,438530,383140
201114K073311,1,2011-03-18,Slight,Motorcycle,435860,389640
201114K074011,1,2011-03-22,Slight,Motorcycle,438610,384820
201114K074111,1,2011-03-21,Slight,Car,436690,388380
201114K074511,1,2011-02-25,Slight,Car,444250,383160
201114K075211,1,2011-03-18,Slight,Pedestrian,435220,383340
201114K075311,1,2011-02-23,Slight,Car,440900,384310
201114K075911,1,2011-03-21,Serious,Pedestrian,434810,387180
201114K076111,1,2011-03-22,Slight,Pedestrian,438350,383210
201114K076811,1,2011-03-21,Slight,Car,434980,384680
201114K076911,1,2011-03-18,Serious,Pedestrian,433830,392560
201114K077011,1,2011-03-17,Serious,Pedestrian,435640,386850
201114K077711,1,2011-03-24,Slight,Car,437070,391410
201114K077811,1,2011-03-24,Serious,Pedal Cycle,432920,383580
201114K077911,1,2011-03-24,Slight,Pedal Cycle,435770,385640
201114K078411,1,2011-03-25,Slight,Car,436460,387660
201114K078811,1,2011-03-24,Slight,Motorcycle,434670,386570
201114K078911,1,2011-03-26,Slight,Car,436770,388290
201114K079811,1,2011-03-25,Serious,Motorcycle,433690,393500
201114K080011,1,2011-03-25,Slight,Pedal Cycle,433450,386970
201114K080111,1,2011-03-27,Slight,Pedal Cycle,435290,396510
201114K080311,1,2011-03-23,Slight,Car,435200,386130
201114K080411,1,2011-03-28,Slight,Car,443050,385400
201114K080411,2,2011-03-28,Slight,Car,443050,385400
201114K080611,1,2011-03-25,Slight,Car,434830,388550
